{
debugQuery: { },
pageNumbers: 76,
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "171245394_0070113278",
vendorId: "0070113278",
vendorName: "恒马电器专营店",
inventory: "0",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB45-288 抗菌蓝色 单筒迷你洗衣机带甩干脱水洗脱小型儿童半全自动宿舍微型小洗衣机单缸洗衣机",
catentryId: "",
countOfarticle: "426",
partnumber: "171245394",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"11626279373999568246","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"4.000000","countOfarticle":"426","praiseRate":"99.000000","goodsQualityScore":"0.000240","shopQualityScore":"0.747490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"426","categoryId":"244006","goodQualityScore":"0.000240","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"426","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.567979","goodQualityScore":"0.000240","shopQualityScore":"0.747490","goodAppQualityScore":"0.000430","goodConQualityScore":"0.760000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.076826","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
ZYLY: "0",
appAttrTitle: [
"透明桶身",
"体积小不占地",
"适合小件衣物"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://hengmadianqi.suning.com",
paramValue: "45-288",
goodType: "Z001",
commentShow: "400+"
},
saleStatus: 0
},
{
partnumberVendorId: "795061454_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB26-1136 2.6公斤单筒迷你洗衣机小型儿童宿舍微型小洗衣机单缸洗衣机 玫瑰金",
catentryId: "",
countOfarticle: "1277",
partnumber: "795061454",
price: "159.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"159.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"14.000000","countOfarticle":"1277","praiseRate":"98.000000","goodsQualityScore":"0.000520","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1277","categoryId":"244006","goodQualityScore":"0.000390","totalScore":"3993.739502","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1277","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.608319","goodQualityScore":"0.000390","shopQualityScore":"0.743650","goodAppQualityScore":"0.000970","goodConQualityScore":"0.790000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
ZYLY: "0",
appAttrTitle: [
"透明桶身",
"体积小不占地",
"适合小件衣物"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "XPB26-1136",
goodType: "Z001",
commentShow: "1200+"
},
saleStatus: 0
},
{
partnumberVendorId: "171245394_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB45-288 抗菌蓝色 单筒迷你洗衣机带甩干脱水洗脱小型儿童半全自动宿舍微型小洗衣机单缸洗衣机",
catentryId: "",
countOfarticle: "1277",
partnumber: "171245394",
price: "159.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"159.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"15.000000","countOfarticle":"1277","praiseRate":"98.000000","goodsQualityScore":"0.001080","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1277","categoryId":"244006","goodQualityScore":"0.000850","totalScore":"3993.739502","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1277","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.608319","goodQualityScore":"0.000850","shopQualityScore":"0.743650","goodAppQualityScore":"0.001340","goodConQualityScore":"0.780000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.076826","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2002",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
ZYLY: "0",
appAttrTitle: [
"透明桶身",
"体积小不占地",
"适合小件衣物"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "45-288",
goodType: "Z001",
commentShow: "1200+"
},
saleStatus: 0
},
{
partnumberVendorId: "10576667195_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "体积小不占地，透明加厚桶身，赠送脱水篮",
brandId: "00002927D",
brandName: "乐众の星(Lezonzx)",
catentdesc: "乐众の星（LEZONZX） XPB22-26 2.2公斤单筒迷你小型洗衣机儿童宿舍专用蓝色",
catentryId: "",
countOfarticle: "0",
partnumber: "10576667195",
price: "159.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"159.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"11308858486849142647","isKAcomoodity":"1","totalCount":"2.000000","countOfarticle":"0","praiseRate":"100.000000","goodsQualityScore":"0.000070","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000050","totalScore":"3993.739502","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000050","shopQualityScore":"0.743650","goodAppQualityScore":"0.000060","goodConQualityScore":"0.760000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10576667195":{"url":"/uimg1/b2c/image/Vf_DWJMkudD-iefKvdf59A==.jpg"}}",
mdmGroupId: "R0401004",
auxdescription: "体积小不占地，透明加厚桶身，赠送脱水篮",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "22-26",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "795061355_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB26-1136 2.6公斤单筒迷你洗衣机小型儿童宿舍微型小洗衣机单缸洗衣机 土豪金",
catentryId: "",
countOfarticle: "1277",
partnumber: "795061355",
price: "159.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"159.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"6.000000","countOfarticle":"1277","praiseRate":"98.000000","goodsQualityScore":"0.000310","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1277","categoryId":"244006","goodQualityScore":"0.000230","totalScore":"3993.739502","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1277","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.608319","goodQualityScore":"0.000230","shopQualityScore":"0.743650","goodAppQualityScore":"0.000530","goodConQualityScore":"0.790000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
auxdescription: "2.6公斤洗涤容量，适合小件衣物，宝宝衣物分开洗",
ZYLY: "0",
appAttrTitle: [
"透明桶身",
"体积小不占地",
"适合小件衣物"
],
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
